ball_faced,bowled_by,catched_by,dot_balls,economy,four,ground_city,ground_name,match_no,name,opposite_team_name,over,run_gave,run_scored,runout_by,six,strike_rate,stumped_by,team_name,wicket,wicket_taken
43,Nitish Rana,,,,5,Jaipur,Sawai Mansingh Stadium,15,D'Arcy Short,Kolkata Knight Riders,,,44,,1,102.32,,Rajasthan Royals,bold,
8,Shivam Mavi,Kuldeep Yadav,,,1,Jaipur,Sawai Mansingh Stadium,15,Sanju Samson,Kolkata Knight Riders,,,7,,0,87.50,,Rajasthan Royals,catch,
,,,5,9.65,,Jaipur,Sawai Mansingh Stadium,15,Ben Laughlin,Kolkata Knight Riders,3.5,37,,,,,,Rajasthan Royals,,0
23,,,,,2,Jaipur,Sawai Mansingh Stadium,15,Dinesh Karthik,Rajasthan Royals,,,42,,2,182.60,,Kolkata Knight Riders,,
,,,9,5.75,,Jaipur,Sawai Mansingh Stadium,15,Kuldeep Yadav,Rajasthan Royals,4,23,,,,,,Kolkata Knight Riders,,1
0,,,4,11.33,0,Jaipur,Sawai Mansingh Stadium,15,Jaydev Unadkat,Kolkata Knight Riders,3,34,0,,0,0.00,,Rajasthan Royals,,0
1,Tom Curran,,7,7.66,0,Jaipur,Sawai Mansingh Stadium,15,Shreyas Gopal,Kolkata Knight Riders,3,23,0,,0,0.00,,Rajasthan Royals,bold,0
19,Nitish Rana,,,,5,Jaipur,Sawai Mansingh Stadium,15,Ajinkya Rahane,Kolkata Knight Riders,,,36,,1,189.47,Dinesh Karthik,Rajasthan Royals,stemping,
,,,9,10.00,,Jaipur,Sawai Mansingh Stadium,15,Shivam Mavi,Rajasthan Royals,4,40,,,,,,Kolkata Knight Riders,,1
3,,,5,10.00,0,Jaipur,Sawai Mansingh Stadium,15,Dhawal Kulkarni,Kolkata Knight Riders,2,20,3,Shubman Gill/Shivam Mavi,0,100.00,,Rajasthan Royals,runout,0
11,Kuldeep Yadav,Andre Russell,,,2,Jaipur,Sawai Mansingh Stadium,15,Rahul Tripathi,Kolkata Knight Riders,,,15,,0,136.36,,Rajasthan Royals,catch,
36,Krishnappa Gowtham,Ben Stokes,,,6,Jaipur,Sawai Mansingh Stadium,15,Robin Uthappa,Rajasthan Royals,,,48,,2,133.33,,Kolkata Knight Riders,catch,
18,,,,,2,Jaipur,Sawai Mansingh Stadium,15,Jos Buttler,Kolkata Knight Riders,,,24,,0,133.33,,Rajasthan Royals,,
,,,10,4.50,,Jaipur,Sawai Mansingh Stadium,15,Piyush Chawla,Rajasthan Royals,4,18,,,,,,Kolkata Knight Riders,,1
11,Piyush Chawla,Nitish Rana,4,8.33,0,Jaipur,Sawai Mansingh Stadium,15,Ben Stokes,Kolkata Knight Riders,3,25,14,,1,127.27,,Rajasthan Royals,catch,0
7,Tom Curran,Shivam Mavi,12,5.75,0,Jaipur,Sawai Mansingh Stadium,15,Krishnappa Gowtham,Kolkata Knight Riders,4,23,12,,1,171.42,,Rajasthan Royals,catch,2
2,Krishnappa Gowtham,,,,0,Jaipur,Sawai Mansingh Stadium,15,Chris Lynn,Rajasthan Royals,,,0,,0,0.00,,Kolkata Knight Riders,bold,
27,,,4,5.50,2,Jaipur,Sawai Mansingh Stadium,15,Nitish Rana,Rajasthan Royals,2,11,35,,1,129.62,,Kolkata Knight Riders,,2
,,,3,9.50,,Jaipur,Sawai Mansingh Stadium,15,Tom Curran,Rajasthan Royals,2,19,,,,,,Kolkata Knight Riders,,2
25,,,6,12.00,5,Jaipur,Sawai Mansingh Stadium,15,Sunil Narine,Rajasthan Royals,4,48,35,Jaydev Unadkat,1,140.00,,Kolkata Knight Riders,runout,0
,,,9,6.25,,Mumbai,Wankhede Stadium,14,Mayank Markande,Royal Challengers Bangalore,4,25,,,,,,Mumbai Indians,,1
14,Krunal Pandya,,,,1,Mumbai,Wankhede Stadium,14,Mandeep Singh,Mumbai Indians,,,16,,0,114.28,Ishan Kishan,Royal Challengers Bangalore,stemping,
2,Mitchell McClenaghan,Hardik Pandya,,,0,Mumbai,Wankhede Stadium,14,AB de Villiers,Mumbai Indians,,,1,,0,50.00,,Royal Challengers Bangalore,catch,
42,Corey Anderson,Quinton de Kock,,,6,Mumbai,Wankhede Stadium,14,Evin Lewis,Royal Challengers Bangalore,,,65,,5,154.76,,Mumbai Indians,catch,
3,,,11,8.50,0,Mumbai,Wankhede Stadium,14,Mohammed Siraj,Mumbai Indians,4,34,8,,1,266.66,,Royal Challengers Bangalore,,0
1,Umesh Yadav,,,,0,Mumbai,Wankhede Stadium,14,Suryakumar Yadav,Royal Challengers Bangalore,,,0,,0,0.00,,Mumbai Indians,bold,
0,,,4,8.00,0,Mumbai,Wankhede Stadium,14,Mitchell McClenaghan,Royal Challengers Bangalore,3,24,0,,0,0.00,,Mumbai Indians,,2
,,,3,13.75,,Mumbai,Wankhede Stadium,14,Mustafizur Rahman,Royal Challengers Bangalore,4,55,,,,,,Mumbai Indians,,0
11,Jasprit Bumrah,Krunal Pandya,9,10.33,0,Mumbai,Wankhede Stadium,14,Chris Woakes,Mumbai Indians,3,31,11,,1,100.00,,Royal Challengers Bangalore,catch,1
7,Chris Woakes,AB de Villiers,,,0,Mumbai,Wankhede Stadium,14,Kieron Pollard,Royal Challengers Bangalore,,,5,,0,71.42,,Mumbai Indians,catch,
12,,,9,7.00,1,Mumbai,Wankhede Stadium,14,Krunal Pandya,Royal Challengers Bangalore,4,28,15,Chris Woakes/Corey Anderson,1,125.00,,Mumbai Indians,runout,3
,,,12,7.00,,Mumbai,Wankhede Stadium,14,Jasprit Bumrah,Royal Challengers Bangalore,4,28,,,,,,Mumbai Indians,,2
1,Umesh Yadav,,,,0,Mumbai,Wankhede Stadium,14,Ishan Kishan,Royal Challengers Bangalore,,,0,,0,0.00,,Mumbai Indians,bold,
1,Krunal Pandya,sub (JP Duminy),10,11.75,0,Mumbai,Wankhede Stadium,14,Corey Anderson,Mumbai Indians,4,47,0,,0,0.00,,Royal Challengers Bangalore,catch,2
