ball_faced,bowled_by,catched_by,dot_balls,economy,four,ground_city,ground_name,match_no,name,opposite_team_name,over,run_gave,run_scored,runout_by,six,strike_rate,stumped_by,team_name,wicket,wicket_taken
9,Ben Cutting,,,,1,Bengaluru,M. Chinnaswamy Stadium,Final,Lokesh Rahul,Sunrisers Hyderabad,,,11,,0,122.22,,Royal Challengers Bangalore,bold,
3,Chris Jordan,Yuzvendra Chahal,1,8.50,1,Bengaluru,M. Chinnaswamy Stadium,Final,Bipul Sharma,Royal Challengers Bangalore,2,17,5,,0,166.66,,Sunrisers Hyderabad,catch,1
,,,9,7.50,,Bengaluru,M. Chinnaswamy Stadium,Final,Sreenath Arvind,Sunrisers Hyderabad,4,30,,,,,,Royal Challengers Bangalore,,2
7,,,,,0,Bengaluru,M. Chinnaswamy Stadium,Final,Stuart Binny,Sunrisers Hyderabad,,,9,,1,128.57,,Royal Challengers Bangalore,,
35,Barinder Sran,,,,5,Bengaluru,M. Chinnaswamy Stadium,Final,Virat Kohli,Sunrisers Hyderabad,,,54,,2,154.28,,Royal Challengers Bangalore,bold,
4,,,,,1,Bengaluru,M. Chinnaswamy Stadium,Final,Naman Ojha,Royal Challengers Bangalore,,,7,Shane Watson,0,175.00,,Sunrisers Hyderabad,runout,
15,,,7,8.75,3,Bengaluru,M. Chinnaswamy Stadium,Final,Ben Cutting,Royal Challengers Bangalore,4,35,39,,4,260.00,,Sunrisers Hyderabad,,2
38,Sreenath Arvind,Iqbal Abdulla,,,8,Bengaluru,M. Chinnaswamy Stadium,Final,David Warner,Royal Challengers Bangalore,,,69,,3,181.57,,Sunrisers Hyderabad,catch,
38,Ben Cutting,Bipul Sharma,8,8.00,4,Bengaluru,M. Chinnaswamy Stadium,Final,Chris Gayle,Sunrisers Hyderabad,3,24,76,,8,200.00,,Royal Challengers Bangalore,catch,0
,,,5,8.75,,Bengaluru,M. Chinnaswamy Stadium,Final,Yuzvendra Chahal,Sunrisers Hyderabad,4,35,,,,,,Royal Challengers Bangalore,,1
2,,,1,10.00,1,Bengaluru,M. Chinnaswamy Stadium,Final,Iqbal Abdulla,Sunrisers Hyderabad,1,10,4,,0,200.00,,Royal Challengers Bangalore,,0
25,Yuzvendra Chahal,Chris Jordan,,,3,Bengaluru,M. Chinnaswamy Stadium,Final,Shikhar Dhawan,Royal Challengers Bangalore,,,28,,1,112.00,,Sunrisers Hyderabad,catch,
5,Chris Jordan,Yuzvendra Chahal,5,13.33,0,Bengaluru,M. Chinnaswamy Stadium,Final,Moises Henriques,Royal Challengers Bangalore,3,40,4,,0,80.00,,Sunrisers Hyderabad,catch,0
,,,9,9.25,,Bengaluru,M. Chinnaswamy Stadium,Final,Mustafizur Rahman,Royal Challengers Bangalore,4,37,,,,,,Sunrisers Hyderabad,,1
6,Bipul Sharma,Moises Henriques,,,0,Bengaluru,M. Chinnaswamy Stadium,Final,AB de Villiers,Sunrisers Hyderabad,,,5,,0,83.33,,Royal Challengers Bangalore,catch,
10,,,,,1,Bengaluru,M. Chinnaswamy Stadium,Final,Sachin Baby,Sunrisers Hyderabad,,,18,Deepak Hooda,1,180.00,,Royal Challengers Bangalore,runout,
6,Sreenath Arvind,Virat Kohli,,,0,Bengaluru,M. Chinnaswamy Stadium,Final,Deepak Hooda,Royal Challengers Bangalore,,,3,,0,50.00,,Sunrisers Hyderabad,catch,
1,,,13,6.25,0,Bengaluru,M. Chinnaswamy Stadium,Final,Bhuvneshwar Kumar,Royal Challengers Bangalore,4,25,1,,0,100.00,,Sunrisers Hyderabad,,0
23,Chris Jordan,Shane Watson,,,4,Bengaluru,M. Chinnaswamy Stadium,Final,Yuvraj Singh,Royal Challengers Bangalore,,,38,,2,165.21,,Sunrisers Hyderabad,catch,
4,,,9,11.25,0,Bengaluru,M. Chinnaswamy Stadium,Final,Chris Jordan,Sunrisers Hyderabad,4,45,3,Naman Ojha,0,75.00,,Royal Challengers Bangalore,runout,3
,,,6,13.66,,Bengaluru,M. Chinnaswamy Stadium,Final,Barinder Sran,Royal Challengers Bangalore,3,41,,,,,,Sunrisers Hyderabad,,1
9,Mustafizur Rahman,Moises Henriques,7,15.25,0,Bengaluru,M. Chinnaswamy Stadium,Final,Shane Watson,Sunrisers Hyderabad,4,61,11,,1,122.22,,Royal Challengers Bangalore,catch,0
11,,,8,7.00,0,Delhi,Feroz Shah Kotla Ground,Qualifier 2,Bipul Sharma,Gujarat Lions,3,21,27,,3,245.45,,Sunrisers Hyderabad,,1
5,Trent Boult,,5,7.50,0,Delhi,Feroz Shah Kotla Ground,Qualifier 2,Suresh Raina,Sunrisers Hyderabad,2,15,1,,0,20.00,,Gujarat Lions,lbw,0
19,,,,,4,Delhi,Feroz Shah Kotla Ground,Qualifier 2,Dinesh Karthik,Sunrisers Hyderabad,,,26,Trent Boult,1,136.84,,Gujarat Lions,runout,
2,,,8,8.00,0,Delhi,Feroz Shah Kotla Ground,Qualifier 2,Dhawal Kulkarni,Sunrisers Hyderabad,4,32,3,,0,150.00,,Gujarat Lions,,0
29,Bipul Sharma,Bhuvneshwar Kumar,,,5,Delhi,Feroz Shah Kotla Ground,Qualifier 2,Brendon McCullum,Sunrisers Hyderabad,,,32,,0,110.34,,Gujarat Lions,catch,
